dataset,method,metric,author,ours,delta
Bank Loan,UFCE1,Prox-Jac,0.6,0.6562155388471178,0.05621553884711783
Bank Loan,UFCE1,Prox-Euc,10.0,0.7378666666666668,-9.262133333333333
Bank Loan,UFCE1,Sparsity,1.0,1.0,0.0
Bank Loan,UFCE1,Actionability,14.0,16.2,2.1999999999999993
Bank Loan,UFCE1,Plausibility,14.0,16.2,2.1999999999999993
Bank Loan,UFCE1,Feasibility,14.0,16.2,2.1999999999999993
Bank Loan,UFCE2,Prox-Jac,0.0,0.0,0.0
Bank Loan,UFCE2,Prox-Euc,23.1,11.711553774800224,-11.388446225199777
Bank Loan,UFCE2,Sparsity,2.0,1.224,-0.776
Bank Loan,UFCE2,Actionability,30.0,47.4,17.4
Bank Loan,UFCE2,Plausibility,30.0,50.0,20.0
Bank Loan,UFCE2,Feasibility,30.0,47.4,17.4
Bank Loan,UFCE3,Prox-Jac,0.0,0.2815085034013606,0.2815085034013606
Bank Loan,UFCE3,Prox-Euc,40.12,38.474742285555145,-1.6452577144448526
Bank Loan,UFCE3,Sparsity,3.0,2.4681666666666664,-0.5318333333333336
Bank Loan,UFCE3,Actionability,44.0,49.2,5.200000000000003
Bank Loan,UFCE3,Plausibility,43.0,49.2,6.200000000000003
Bank Loan,UFCE3,Feasibility,43.0,49.2,6.200000000000003
Bank Loan,DiCE,Prox-Jac,0.7,,
Bank Loan,DiCE,Prox-Euc,121.45,,
Bank Loan,DiCE,Sparsity,5.2,,
Bank Loan,DiCE,Actionability,8.0,,
Bank Loan,DiCE,Plausibility,39.0,,
Bank Loan,DiCE,Feasibility,8.0,,
Bank Loan,AR,Prox-Jac,0.62,,
Bank Loan,AR,Prox-Euc,129.56,,
Bank Loan,AR,Sparsity,5.3,,
Bank Loan,AR,Actionability,9.0,,
Bank Loan,AR,Plausibility,45.0,,
Bank Loan,AR,Feasibility,9.0,,
Graduate Admission,UFCE1,Prox-Jac,0.0,0.0,0.0
Graduate Admission,UFCE1,Prox-Euc,2.34,0.6367359307359308,-1.703264069264069
Graduate Admission,UFCE1,Sparsity,1.0,1.0,0.0
